:Id;Manufacturer:Link;ArticleNo;ArtNo;TecDoc.ArtNo;TecDoc.Link;:Id;:Id;ArticleID;ManufacturerArticleNo;Manufacturer:Link;K24Number
F0C189DF-9B69-4917-9C3A-CCAF10940F11;622;QUINTONHAZELL-QBK389;QBK389;QBK389;QUINTONHAZELL-QBK389;601E5395-1F58-45F4-8761-00087375D44E;601E5395-1F58-45F4-8761-00087375D44E;627983;1820-0402;9QUI;1820-0402
CF3F05A7-D11E-4653-B99F-CA90E621672C;3344;CSGERMANY-14.950.307;14.950.307;14.950.307;CSGERMANY-14.950.307;887719FA-B637-423D-859E-0008832A9800;887719FA-B637-423D-859E-0008832A9800;97239;1540-30326;9CSG;1540-30326
F0C9F502-B7D4-4C59-AB48-849014A2A6C7;1410;KYB-332028;332028;332028;KYB-332028;7E8F41AF-5945-409D-9254-00088C757A9D;7E8F41AF-5945-409D-9254-00088C757A9D;43267;1550-0483;9KYB;1550-0483
98C11BFE-E7AA-4634-89E6-A91ADEE1BA0A;2044;NK-203542;203542;203542;NK-203542;C051F55B-A599-4CB1-8FB8-0008A3D95130;C051F55B-A599-4CB1-8FB8-0008A3D95130;188656;1420-20651;9NK;1420-20651
1C79EAF3-A9AC-4C9D-8344-52C23849F1CE;3414;CLIMAIR-CLI0031719;CLI0031719;CLI0031719;CLIMAIR-CLI0031719;D5869AFC-3646-4739-947D-0008AF8CF389;D5869AFC-3646-4739-947D-0008AF8CF389;425788;CLI0031719;CL;2313-3537
5AB5D513-5536-455C-B1E6-FC4CCE0D02F2;2744;ASSO-26.7006;26.7006;26.7006;ASSO-26.7006;66A361F8-FB09-4F1B-BDB2-0008B54496F4;66A361F8-FB09-4F1B-BDB2-0008B54496F4;1156252;26.7006;ASS;1220-123585
2618FADE-F041-4E83-BD3F-18E2D00E8568;2044;NK-79331765;79331765;79331765;NK-79331765;A9ACC891-A08D-4AFF-AFB7-0008C695B1FE;A9ACC891-A08D-4AFF-AFB7-0008C695B1FE;1118472;79331765;NK;1440-102136
773E25F0-B420-418C-AB1C-0D5D9AC9A0E2;2141;AJUSA-13000200;13000200;13000200;AJUSA-13000200;0B2BA03E-E8DC-463D-9CA5-000906F0CD91;0B2BA03E-E8DC-463D-9CA5-000906F0CD91;615313;1610-11950;9AJU;1610-11950
AC9DBA29-C138-4535-B73C-5E8C32FB69E2;2141;AJUSA-11067500;11067500;11067500;AJUSA-11067500;E52EA510-6351-4BCB-928D-00091BE0995B;E52EA510-6351-4BCB-928D-00091BE0995B;614682;1610-11608;9AJU;1610-11608
03444410-773E-4367-B0EA-B2D28FDCABFA;1408;METZGER-105-0758;105-0758;105-0758;METZGER-105-0758;FFA5CDCB-0174-488C-B5F1-0009593FF687;FFA5CDCB-0174-488C-B5F1-0009593FF687;1306160;105-0758;MEZ;1440-108520
