EngineType;CarNr;CarMake;CarModel;TD-GenartNr;TD-GenartDesc;K24-Kategorie;TD-ArtNr;PDM-ArtID;K24Number;Manufacturer;TD-ManufacturerNr
Elektromotor;6397;SMART;FORTWO Coupe (451);1626;Wälzlager, Federbeinstützlager;Radaufhängung;BSJ30003;4697688;NULL;DEH;89
Elektromotor;6397;SMART;FORTWO Coupe (451);3028;Distanzrohr, Federbock;Federung/Dämpfung;02.30.359;4682645;NULL;TRT;209
Elektromotor;6397;SMART;FORTWO Coupe (451);3405;Bremsensatz, Scheibenbremse;Bremsanlage;200901360;4679048;NULL;MSP;358
Elektromotor;6397;SMART;FORTWO Coupe (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;6397;SMART;FORTWO Coupe (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;6397;SMART;FORTWO Coupe (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;6397;SMART;FORTWO Coupe (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;6397;SMART;FORTWO Coupe (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Elektromotor;6397;SMART;FORTWO Coupe (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;6397;SMART;FORTWO Coupe (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;6404;SMART;FORTWO Cabrio (451);82;Bremsscheibe;Bremsanlage;DI-M00C;4654057;NULL;JPP;156
Elektromotor;6404;SMART;FORTWO Cabrio (451);124;Seilzug, Feststellbremse;Bremsanlage;HK-3081;4354645;NULL;OPT;129
Elektromotor;6404;SMART;FORTWO Cabrio (451);194;Faltenbalgsatz, Antriebswelle;Radantrieb;780855;4695053;NULL;GSP;373
Elektromotor;6404;SMART;FORTWO Cabrio (451);215;Fußmattensatz;Innenausstattung;PAL18-1653;4691463;NULL;ASU;442
Elektromotor;6404;SMART;FORTWO Cabrio (451);215;Fußmattensatz;Innenausstattung;PAL18-1654;4691464;NULL;ASU;442
Elektromotor;6404;SMART;FORTWO Cabrio (451);215;Fußmattensatz;Innenausstattung;PAL18-6653;4693372;NULL;ASU;442
Elektromotor;6404;SMART;FORTWO Cabrio (451);215;Fußmattensatz;Innenausstattung;PAL18-6654;4693373;NULL;ASU;442
Elektromotor;6404;SMART;FORTWO Cabrio (451);286;Lenkgetriebe;Lenkung;173311;4683496;NULL;CEV;393
Elektromotor;6404;SMART;FORTWO Cabrio (451);1061;Feder, Schalldämpfer;Abgasanlage;02.39.096;4711832;NULL;TRT;209
Elektromotor;6404;SMART;FORTWO Cabrio (451);1186;Sensor, Außentemperatur;Instrumente;02.42.001;4710484;NULL;TRT;209
Elektromotor;6404;SMART;FORTWO Cabrio (451);1626;Wälzlager, Federbeinstützlager;Radaufhängung;BSJ30003;4697688;NULL;DEH;89
Elektromotor;6404;SMART;FORTWO Cabrio (451);3405;Bremsensatz, Scheibenbremse;Bremsanlage;200901360;4679048;NULL;MSP;358
Elektromotor;6404;SMART;FORTWO Cabrio (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;6404;SMART;FORTWO Cabrio (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;6404;SMART;FORTWO Cabrio (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;6404;SMART;FORTWO Cabrio (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;6404;SMART;FORTWO Cabrio (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Elektromotor;6404;SMART;FORTWO Cabrio (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;6404;SMART;FORTWO Cabrio (451);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);82;Bremsscheibe;Bremsanlage;DI-0505C;4653401;NULL;JPP;156
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);82;Bremsscheibe;Bremsanlage;DP-0501C;4654213;NULL;JPP;156
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);83;Bremsschlauch;Bremsanlage;BSL-3720;3829474;NULL;OPT;129
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);83;Bremsschlauch;Bremsanlage;BSL-3817;3829576;NULL;OPT;129
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);124;Seilzug, Feststellbremse;Bremsanlage;HK-2990;4354554;NULL;OPT;129
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);124;Seilzug, Feststellbremse;Bremsanlage;HK-3077;4354641;NULL;OPT;129
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);124;Seilzug, Feststellbremse;Bremsanlage;HK-3078;4354642;NULL;OPT;129
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);215;Fußmattensatz;Innenausstattung;PAL18-0928;4690738;NULL;ASU;442
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);215;Fußmattensatz;Innenausstattung;PAL18-5928;4692647;NULL;ASU;442
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);286;Lenkgetriebe;Lenkung;STER171L;4683575;NULL;SVT;2534
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);286;Lenkgetriebe;Lenkung;STER171LXKIT;4683576;NULL;SVT;2534
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);295;Wischermotor;Scheibenreinigung;V30-07-0034;4683034;NULL;VMO;183
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);448;Kondensator, Klimaanlage;Klimaanlage;PAL12-0020;4670839;NULL;ASU;442
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);763;Relais, Startsperrung;Startanlage;50237016;4660447;NULL;SVC;2429
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);1428;Zusatzbremsleuchte;Signalanlage;ME3244150;4699088;NULL;PRA;340
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);2669;Innenraumgebläse;Heizung/Lüftung;AC730121;4685834;NULL;MXG;403
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);3356;Frostschutz;Kühlung;111 02 272 01 11;4679256;NULL;OES;2728
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);3936;Schalter, Kupplungsbetätigung (Motorsteuerung);Gemischaufbereitung;02.42.281;4676152;NULL;TRT;209
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);3936;Schalter, Kupplungsbetätigung (Motorsteuerung);Gemischaufbereitung;4.68125;4676151;NULL;DTT;355
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;6438;MERCEDES-BENZ;A-KLASSE (W169);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;7042;THINK;CITY;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;7042;THINK;CITY;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;7042;THINK;CITY;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;7042;THINK;CITY;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
